class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
Takbir,0,0,0,-0.004448265,0.008924823,-0.026670903,-0.008245021,0.008268746,-0.026684582,-0.012138397,0.00739534,-0.026624396,0.00665161,0.008864159,-0.028572872,0.010679394,0.008067334,-0.028558411,0.014881819,0.006961882,-0.028594628,-0.018382549,-0.004838467,-0.162713619,0.021001816,-0.007168315,-0.169793744,-0.008440584,-0.016970888,-0.047037527,0.006863654,-0.016811524,-0.049207352,-0.054759443,-0.092001449,-0.219770469,0.048116595,-0.097977098,-0.221525773,-0.10815832,-0.16861644,-0.058312923,0.104592472,-0.165785309,-0.075307481,-0.082063526,-0.072236363,0.130647421,0.078734487,-0.059372615,0.122915626,-0.071495146,-0.045141015,0.179310054,0.075648129,-0.033953238,0.178334475,-0.068180472,-0.040563885,0.15637207,0.071765035,-0.031901676,0.160116911,-0.068284601,-0.049058218,0.127578557,0.069434822,-0.039674599,0.123541474,-0.033857435,-0.317353602,-0.153347087,0.02891776,-0.314002451,-0.150677302,-0.044997007,-0.495497759,-0.153420527,0.035993308,-0.494747158,-0.144613294,-0.045699209,-0.654712971,-0.370136276,0.038520306,-0.663106617,-0.346877813,-0.035315365,-0.679059681,-0.384146482,0.031225741,-0.685976502,-0.358872756,-0.056169778,-0.704270478,-0.221495017,0.048352599,-0.713013347,-0.195895087
Takbir,0,0,0,-0.004378945,0.00889918,-0.026930809,-0.008179367,0.008308701,-0.026944876,-0.012075186,0.007478105,-0.026884019,0.006724924,0.008719942,-0.02854833,0.010752589,0.007896215,-0.028534651,0.014954746,0.006739566,-0.028574407,-0.018309921,-0.004792999,-0.162807615,0.0211052,-0.007510338,-0.170349474,-0.00846678,-0.016986445,-0.047579959,0.006883144,-0.016904481,-0.04965543,-0.054671049,-0.092333637,-0.220565274,0.04821372,-0.098595433,-0.222098634,-0.107939124,-0.169227757,-0.058710851,0.104702055,-0.167388864,-0.076287344,-0.081949294,-0.072924644,0.130025059,0.078991145,-0.060576171,0.122195661,-0.071291924,-0.045814008,0.178058892,0.075928628,-0.034894519,0.176672012,-0.067999542,-0.041207723,0.15508759,0.072128117,-0.032764301,0.158251673,-0.068136394,-0.049699068,0.1268363,0.069743395,-0.040484451,0.122685939,-0.033690631,-0.317862011,-0.157723844,0.029018402,-0.31432528,-0.154981247,-0.044544309,-0.495926388,-0.158039252,0.036075205,-0.495345719,-0.148893506,-0.045433372,-0.654591627,-0.375488833,0.03860873,-0.663710482,-0.351122424,-0.035238087,-0.678685434,-0.389472708,0.031361341,-0.686517127,-0.363207519,-0.05520314,-0.704733379,-0.226641104,0.04829523,-0.713792928,-0.2004999
Takbir,0,0,0,-0.004343629,0.009138377,-0.027603857,-0.008151412,0.008620711,-0.027616769,-0.012059987,0.007867474,-0.027554281,0.006769896,0.008744437,-0.029463246,0.010796815,0.00784792,-0.029463157,0.014999717,0.006606393,-0.029525071,-0.018276662,-0.004439287,-0.162710553,0.021160066,-0.007617775,-0.172119284,-0.008506417,-0.017190378,-0.047408514,0.006889999,-0.017138507,-0.049890451,-0.054624945,-0.091948651,-0.215055622,0.04827565,-0.09870144,-0.225647397,-0.107903898,-0.169564195,-0.051669165,0.104751587,-0.169333734,-0.079787679,-0.081802189,-0.073284552,0.138485372,0.079199672,-0.062043659,0.126534283,-0.071241438,-0.046110742,0.183913946,0.076145858,-0.035890721,0.182315737,-0.067962527,-0.041428857,0.160516679,0.072348654,-0.033644766,0.165477633,-0.068085968,-0.049855813,0.134654194,0.069947183,-0.041346498,0.127793759,-0.03364259,-0.317728855,-0.143455533,0.029125154,-0.314234592,-0.144574552,-0.044772059,-0.495979525,-0.146487486,0.036163121,-0.495667078,-0.141004946,-0.046409041,-0.65581999,-0.352784142,0.038652688,-0.663792945,-0.338365853,-0.035942554,-0.67991475,-0.364413261,0.031175315,-0.686848618,-0.350752771,-0.055194527,-0.705059625,-0.201846123,0.049309731,-0.714405335,-0.188141719
Takbir,0,0,0,-0.004291445,0.009249846,-0.027689323,-0.008115739,0.008757183,-0.02770333,-0.012024075,0.008028692,-0.027640566,0.006839126,0.008757612,-0.029543065,0.010880321,0.007812047,-0.029546529,0.015091062,0.006530778,-0.029611953,-0.018206805,-0.00425316,-0.162031598,0.021262169,-0.007638048,-0.171608455,-0.008525997,-0.017271366,-0.047180362,0.006919742,-0.017225284,-0.049678087,-0.054539204,-0.091790982,-0.212661564,0.048387259,-0.098763831,-0.224566847,-0.107821703,-0.169718526,-0.049852133,0.104849458,-0.170676269,-0.079447206,-0.081483364,-0.073437192,0.14298065,0.079471529,-0.063140273,0.125675276,-0.071129501,-0.046210058,0.188900545,0.076374799,-0.036649384,0.180955723,-0.067871332,-0.041497812,0.164907709,0.072578907,-0.034335949,0.164089039,-0.067977905,-0.049906254,0.140023276,0.070169747,-0.041992411,0.126895115,-0.033549219,-0.31752231,-0.136364644,0.029251516,-0.314074539,-0.139172685,-0.044916302,-0.495886825,-0.140525749,0.036300659,-0.495769881,-0.136056167,-0.046944112,-0.656399213,-0.341031015,0.038748264,-0.663754068,-0.331095457,-0.03634578,-0.680520676,-0.352056012,0.031101465,-0.686989389,-0.342774659,-0.055192053,-0.705162369,-0.190259967,0.050182432,-0.714726888,-0.181681022
Takbir,0,0,0,-0.004206419,0.00924219,-0.02749303,-0.008032292,0.008741854,-0.02750545,-0.011909783,0.008005541,-0.027439192,0.00691399,0.008761428,-0.028729543,0.010968775,0.007802993,-0.028727897,0.01518321,0.006499976,-0.028780118,-0.018062502,-0.004208963,-0.161678657,0.021408409,-0.007618837,-0.168707792,-0.008479565,-0.017291415,-0.047324963,0.006960958,-0.017223362,-0.049046256,-0.054389298,-0.091734175,-0.213487163,0.048596352,-0.098817784,-0.218418673,-0.107674241,-0.169675607,-0.052636072,0.104785293,-0.172278125,-0.07401206,-0.081035256,-0.073373061,0.137663752,0.079668075,-0.064020891,0.125740349,-0.070778668,-0.046282645,0.185109258,0.076518238,-0.037200842,0.179540932,-0.067569852,-0.041508038,0.16196686,0.0727157,-0.034776587,0.163378537,-0.067640901,-0.049883988,0.134838402,0.070307493,-0.042383883,0.126796335,-0.033399552,-0.317305971,-0.132586409,0.029434144,-0.313607294,-0.13288047,-0.044876933,-0.495757986,-0.134960893,0.037005544,-0.495721865,-0.125277104,-0.046774924,-0.656400014,-0.331270069,0.039534897,-0.663584162,-0.314274251,-0.036189705,-0.680539835,-0.342461705,0.031479836,-0.68692534,-0.325064421,-0.055452883,-0.705028165,-0.181336422,0.050584376,-0.714643348,-0.164691325
Takbir,0,0,0,-0.004075944,0.009249626,-0.027225859,-0.007894039,0.008750515,-0.027239829,-0.01177606,0.008024532,-0.027174681,0.006970853,0.008769257,-0.028904766,0.011028975,0.007777898,-0.028910227,0.015209407,0.006435605,-0.02896519,-0.017919719,-0.004052572,-0.160342216,0.021521181,-0.007597424,-0.168517657,-0.008456141,-0.017301735,-0.046640411,0.006857008,-0.017217822,-0.048775084,-0.054383129,-0.0916734,-0.21226494,0.048744112,-0.09867258,-0.218967363,-0.10772571,-0.169657078,-0.05037725,0.104823679,-0.172422599,-0.071993567,-0.080672234,-0.073607642,0.143374592,0.079730958,-0.064109113,0.127901942,-0.070525795,-0.046554457,0.191918164,0.076643467,-0.037335675,0.182407737,-0.06739077,-0.041786235,0.168977171,0.072837621,-0.03484359,0.165208668,-0.067446917,-0.050237823,0.140430272,0.070378274,-0.042434525,0.128670812,-0.033295482,-0.317300152,-0.133410568,0.029542416,-0.313640129,-0.133730047,-0.044778764,-0.495723587,-0.135779719,0.037191927,-0.495705288,-0.126365895,-0.046652496,-0.656303685,-0.335842326,0.039670676,-0.663571816,-0.31709671,-0.036143452,-0.680540722,-0.347930938,0.031582892,-0.687383693,-0.328242585,-0.055620611,-0.70499764,-0.185823489,0.05071038,-0.714645308,-0.165626466
Takbir,0,0,0,-0.003979236,0.009254573,-0.02718024,-0.007796377,0.008758565,-0.027194947,-0.011680305,0.008043164,-0.027130708,0.007005513,0.008774074,-0.028977722,0.011063695,0.007758252,-0.028982669,0.015217125,0.006386483,-0.029037379,-0.017813623,-0.003934693,-0.160498619,0.021597922,-0.007581811,-0.168944936,-0.008439064,-0.017311536,-0.046649531,0.006769627,-0.017217312,-0.0489005,-0.054366201,-0.091620822,-0.212638773,0.048858196,-0.098588217,-0.219733678,-0.107758701,-0.16964506,-0.05056712,0.104863286,-0.172527168,-0.072198413,-0.080402672,-0.073732059,0.14329876,0.079763234,-0.064183842,0.127619192,-0.070348024,-0.046753,0.191967294,0.076726198,-0.037431125,0.18234615,-0.067264378,-0.041995425,0.169053987,0.072913319,-0.034893576,0.164653048,-0.067306638,-0.050482061,0.140288755,0.070408076,-0.042473387,0.128259227,-0.033227921,-0.317292053,-0.134766935,0.029622436,-0.313663561,-0.135067797,-0.044713527,-0.495700408,-0.1371008,0.037324727,-0.49569558,-0.12775396,-0.046563804,-0.656213451,-0.33909376,0.039768875,-0.663562346,-0.319576457,-0.036119342,-0.680549372,-0.351563126,0.031662375,-0.687672246,-0.330924734,-0.055731177,-0.704971302,-0.189072631,0.050788552,-0.714644004,-0.16744547
Takbir,0,0,0,-0.00363791,0.009358944,-0.028033197,-0.007410526,0.008852663,-0.028041929,-0.011062831,0.008132163,-0.027969711,0.007180005,0.008878313,-0.028219283,0.011305898,0.007861402,-0.028220475,0.015480995,0.006485153,-0.028276257,-0.016794503,-0.003832523,-0.164921876,0.022543132,-0.007470518,-0.168805551,-0.008016706,-0.01744312,-0.0491556,0.007055163,-0.017268103,-0.049437448,-0.053323328,-0.091710422,-0.218482859,0.049993724,-0.098460037,-0.220718026,-0.106979072,-0.169960503,-0.056800254,0.105895847,-0.172886048,-0.073462255,-0.079572082,-0.074022319,0.136923328,0.080800533,-0.064079855,0.126949921,-0.069528759,-0.046570335,0.185893968,0.077714741,-0.037303273,0.181685969,-0.06653738,-0.041695271,0.162887499,0.073922932,-0.034720402,0.164487198,-0.066528797,-0.050315712,0.133910224,0.071442962,-0.042340774,0.127729878,-0.032189995,-0.317170922,-0.140985217,0.030708432,-0.31354836,-0.139084903,-0.043655276,-0.495633725,-0.142187238,0.038451374,-0.49565411,-0.131516296,-0.045511216,-0.656465832,-0.346178621,0.04080984,-0.663531724,-0.326895818,-0.034995079,-0.680967275,-0.358898029,0.032681823,-0.687848691,-0.338749021,-0.055530518,-0.704868916,-0.19514028,0.051754832,-0.714549307,-0.172931433
Takbir,0,0,0,-0.003460854,0.009437878,-0.028314412,-0.007210493,0.008926585,-0.028321147,-0.010727227,0.008202303,-0.028245911,0.00727275,0.008955406,-0.027993962,0.011437595,0.00793693,-0.027993977,0.015629083,0.006562239,-0.028049812,-0.016184241,-0.003755659,-0.165927585,0.023109466,-0.007385299,-0.168773264,-0.007792443,-0.017539896,-0.050095312,0.007208705,-0.017301127,-0.049616367,-0.052693516,-0.091797806,-0.22106608,0.050708771,-0.098350875,-0.220875748,-0.106503665,-0.170169421,-0.059709467,0.1065121,-0.173038401,-0.073844232,-0.079081833,-0.074202538,0.13444005,0.081421465,-0.063983217,0.126277998,-0.069052517,-0.04641588,0.183176354,0.078301877,-0.037170179,0.180865243,-0.066126525,-0.041441999,0.160124764,0.074529856,-0.034531325,0.163695648,-0.066086233,-0.050171122,0.131339744,0.072066367,-0.042204149,0.127069786,-0.031562388,-0.317068093,-0.143103617,0.031380683,-0.313454501,-0.139968384,-0.04302007,-0.495574228,-0.143663639,0.039144039,-0.495621793,-0.132252952,-0.044873685,-0.656651609,-0.348169461,0.041436732,-0.663512222,-0.329269558,-0.034315169,-0.681271069,-0.360906735,0.033291608,-0.687990658,-0.341278657,-0.055515438,-0.704799466,-0.19680291,0.052331001,-0.714479439,-0.174982052
Takbir,0,0,0,-0.003470331,0.00947831,-0.027799331,-0.007244021,0.008965921,-0.027809754,-0.010660917,0.008244056,-0.027740076,0.007347435,0.008997053,-0.028055504,0.011575788,0.007978151,-0.028050244,0.015818328,0.006597579,-0.028101459,-0.015976578,-0.003710963,-0.165105868,0.023470402,-0.007339466,-0.169150488,-0.007733345,-0.017597947,-0.049454972,0.007428408,-0.017358784,-0.049772963,-0.052380711,-0.091860771,-0.222466245,0.051099122,-0.098283619,-0.220527142,-0.106505901,-0.170141637,-0.060250685,0.10691902,-0.173053205,-0.075184032,-0.07901749,-0.074156873,0.13402456,0.081799477,-0.063837387,0.123674631,-0.068878502,-0.046218663,0.182819873,0.078711927,-0.037041031,0.178019464,-0.06593284,-0.041281298,0.159955949,0.074935436,-0.034374647,0.160622299,-0.065913886,-0.050048344,0.13105756,0.072474182,-0.042064376,0.124359816,-0.031247795,-0.31702593,-0.14625947,0.031644404,-0.31343022,-0.142830353,-0.042600483,-0.49559319,-0.146654554,0.039672434,-0.495585501,-0.135444412,-0.043996423,-0.656325698,-0.353628442,0.041867971,-0.662844539,-0.332845956,-0.033644915,-0.681100905,-0.366697386,0.033698887,-0.687876284,-0.344861194,-0.055280834,-0.704284549,-0.203550391,0.052742422,-0.714398801,-0.178776838
